Timestamp,Ticker,Current_Price_RM,Target_Price_RM,Signal
2026-07-13 19:22:53,POL,0.00,1.6,BUY ALERT
2026-07-13 19:22:53,DOT,0.00,19.0,BUY ALERT
2026-07-13 19:23:03,POL,0.00,1.6,BUY ALERT
2026-07-13 19:23:03,DOT,0.00,19.0,BUY ALERT
2026-07-13 19:23:13,POL,0.00,1.6,BUY ALERT
2026-07-13 19:23:13,DOT,0.00,19.0,BUY ALERT
2026-07-13 19:28:52,POL,0.00,1.6,HOLD
2026-07-13 19:28:52,DOT,0.00,19.0,HOLD
2026-07-13 19:29:03,POL,0.00,1.6,HOLD
2026-07-13 19:29:03,DOT,0.00,19.0,HOLD
2026-07-13 19:29:13,POL,0.00,1.6,HOLD
2026-07-13 19:29:13,DOT,0.00,19.0,HOLD
2026-07-13 19:29:48,POL,0.00,1.6,HOLD
2026-07-13 19:29:48,DOT,0.00,19.0,HOLD
2026-07-13 19:29:59,POL,0.00,1.6,HOLD
2026-07-13 19:29:59,DOT,0.00,19.0,HOLD
2026-07-13 19:34:46,POL,0.34,1.60,BUY ALERT
2026-07-13 19:34:46,DOT,3.39,19.00,BUY ALERT
2026-07-13 19:34:56,POL,0.34,1.60,BUY ALERT
2026-07-13 19:34:56,DOT,3.39,19.00,BUY ALERT
2026-07-13 19:35:07,POL,0.34,1.60,BUY ALERT
2026-07-13 19:35:07,DOT,3.39,19.00,BUY ALERT
2026-07-13 19:35:17,POL,0.34,1.60,BUY ALERT
2026-07-13 19:35:17,DOT,3.39,19.00,BUY ALERT
